Date,S1,S2,S3,S4,S5
2004-03-10,1360.0,1360.0,1056.0,1692.0,1268.0
2004-03-10,1292.0,1292.0,1174.0,1559.0,972.0
2004-03-10,1402.0,1402.0,1140.0,1554.0,1074.0
2004-03-10,1376.0,1376.0,1092.0,1584.0,1203.0
2004-03-10,1272.0,1272.0,1205.0,1490.0,1110.0
2004-03-10,1197.0,1197.0,1336.0,1393.0,949.0
2004-03-11,1185.0,1185.0,1462.0,1333.0,732.0
2004-03-11,1136.0,1136.0,1453.0,1333.0,730.0
2004-03-11,1094.0,1094.0,1579.0,1276.0,620.0
2004-03-11,1066.0,1066.0,1918.0,1182.0,422.0
2004-03-11,1052.0,1052.0,1738.0,1221.0,472.0
2004-03-11,1144.0,1144.0,1490.0,1339.0,730.0
2004-03-11,1333.0,1333.0,1136.0,1517.0,1102.0
2004-03-11,1351.0,1351.0,1079.0,1583.0,1028.0
2004-03-11,1233.0,1233.0,1218.0,1446.0,860.0
2004-03-11,1179.0,1179.0,1328.0,1362.0,670.0
2004-03-11,1236.0,1236.0,1301.0,1401.0,664.0
2004-03-11,1286.0,1286.0,1162.0,1537.0,799.0
2004-03-11,1371.0,1371.0,983.0,1730.0,1036.0
2004-03-11,1310.0,1310.0,1082.0,1646.0,946.0
2004-03-11,1292.0,1292.0,1102.0,1591.0,957.0
2004-03-11,1383.0,1383.0,1008.0,1719.0,1104.0
2004-03-11,1581.0,1581.0,798.0,2083.0,1408.0
2004-03-11,1776.0,1776.0,702.0,2332.0,1704.0
2004-03-11,1640.0,1640.0,743.0,2191.0,1654.0
2004-03-11,1313.0,1313.0,957.0,1706.0,1285.0
2004-03-11,964.0,964.0,1325.0,1332.0,821.0
2004-03-11,913.0,913.0,1564.0,1252.0,552.0
2004-03-12,1080.0,1080.0,1254.0,1375.0,816.0
2004-03-12,1044.0,1044.0,1247.0,1378.0,832.0
2004-03-12,988.0,988.0,1396.0,1304.0,692.0
2004-03-12,847.0,847.0,1894.0,1155.0,394.0
2004-03-12,927.0,927.0,1685.0,1223.0,486.0
2004-03-12,1090.0,1090.0,1387.0,1361.0,748.0
2004-03-12,1587.0,1587.0,896.0,1900.0,1400.0
2004-03-12,1350.0,1350.0,912.0,1712.0,1237.0
2004-03-12,1263.0,1263.0,969.0,1598.0,1166.0
2004-03-12,1206.0,1206.0,1034.0,1537.0,959.0
2004-03-12,1252.0,1252.0,1008.0,1593.0,983.0
2004-03-12,1287.0,1287.0,949.0,1660.0,1061.0
2004-03-12,1353.0,1353.0,922.0,1740.0,1139.0
2004-03-12,1309.0,1309.0,954.0,1657.0,1112.0
2004-03-12,1274.0,1274.0,1006.0,1610.0,994.0
2004-03-12,1510.0,1510.0,812.0,1910.0,1410.0
2004-03-12,1525.0,1525.0,821.0,1847.0,1448.0
2004-03-12,1843.0,1843.0,624.0,2390.0,1886.0
2004-03-12,1598.0,1598.0,752.0,1940.0,1627.0
2004-03-12,1484.0,1484.0,839.0,1723.0,1491.0
2004-03-12,1677.0,1677.0,740.0,2062.0,1657.0
2004-03-13,1280.0,1280.0,962.0,1544.0,1285.0
2004-03-13,1196.0,1196.0,1071.0,1463.0,1144.0
2004-03-13,1184.0,1184.0,1176.0,1364.0,1043.0
2004-03-13,978.0,978.0,1420.0,1274.0,819.0
2004-03-13,1100.0,1100.0,1406.0,1268.0,835.0
2004-03-13,1112.0,1112.0,1228.0,1408.0,940.0
2004-03-13,1336.0,1336.0,935.0,1678.0,1192.0
2004-03-13,1408.0,1408.0,830.0,1777.0,1411.0
2004-03-13,1447.0,1447.0,868.0,1667.0,1465.0
2004-03-13,1542.0,1542.0,808.0,1780.0,1582.0
2004-03-13,1451.0,1451.0,875.0,1679.0,1387.0
2004-03-13,1328.0,1328.0,986.0,1600.0,1100.0
2004-03-13,1206.0,1206.0,1088.0,1488.0,850.0
2004-03-13,1240.0,1240.0,1049.0,1532.0,947.0
2004-03-13,1306.0,1306.0,1004.0,1554.0,1078.0
2004-03-13,1326.0,1326.0,976.0,1602.0,1084.0
2004-03-13,1473.0,1473.0,830.0,1779.0,1395.0
2004-03-13,1609.0,1609.0,758.0,1922.0,1612.0
2004-03-13,1611.0,1611.0,754.0,1915.0,1697.0
2004-03-13,1620.0,1620.0,762.0,1860.0,1886.0
